"","...1","species","longitude","latitude","genus","state","province","locality","elevation.in.m","principal.collector","determinator","herbarium","collection.code","picture.code.link","note","original.name","x","link2","gbifid","link","datasetkey","countrycode","stateprovince","elevation","basisofrecord","institutioncode","collectioncode","catalognumber","recordnumber","identifiedby","recordedby","tae","region","location","elevation2","main.collector","note1","note2","x.1","scientificname","typestatus","altitude.in.m","determined.by","verbatimscientificname","x.2","occurrenceid","kingdom","phylum","class","order","family","infraspecificepithet","taxonrank","verbatimscientificnameauthorship","occurrencestatus","individualcount","publishingorgkey","coordinateuncertaintyinmeters","coordinateprecision","elevationaccuracy","depth","depthaccuracy","eventdate","day","month","year","taxonkey","specieskey","dateidentified","license","rightsholder","establishmentmeans","lastinterpreted","mediatype","issue","cataloguenumber.colectioncode","note.1"
"1358",1376,"antisanensis",-78.524278,-0.229497,"Loricaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,1057137798,"https://www.gbif.org/occurrence/1057137798","7e380070-f762-11e1-a439-00145eb45e9a","EC","Pichincha",NA,NA,"NHMUK","BOT","BM001009495","s.n.",NA,"William (Guilielmo) Jameson","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria antisanensis Cuatrec.","TYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1359",1377,"antisanensis",-78.15,-0.283,"Loricaria",NA,NA,"Road Quito - Baeza, 1 km along take-off road to telecommunication antenna in the pass (Páramo de Guamaní). Bunch grass páramo and boggy páramo. Scrub in protected places.",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,47797789,"https://www.gbif.org/occurrence/47797789","833db434-f762-11e1-a439-00145eb45e9a","EC","Napo",4050,NA,"AAU","Herbarium","B.Ollgaard10016",NA,NA,"B. Ollgaard","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria antisanensis Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1360",1378,"leptothamna",-76.650329,-9.330491,"Loricaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,2596413982,"https://www.gbif.org/occurrence/2596413982","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PE","Huánuco",NA,NA,"iNaturalist","Observations","41099911",NA,"Daniel Montesinos T","Daniel Montesinos T","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1361",1379,"leptothamna",-77.811185,-6.835639,"Loricaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,2596353907,"https://www.gbif.org/occurrence/2596353907","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PE","Amazonas",NA,NA,"iNaturalist","Observations","41077039",NA,"Daniel Montesinos T","Daniel Montesinos T","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1362",1380,"leptothamna",-79.1633,-4.4756,"Loricaria",NA,NA,"Parroquia: Valladolid. Southern slopes of the Cordillera de Sabanilla (headwaters of RÃ­o Chinchipe). Tapichalaca Reserve (FundaciÃ³n Jocotoco). Trail from highway to paramo (airplane wreckage).",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,1928669990,"https://www.gbif.org/occurrence/1928669990","d415c253-4d61-4459-9d25-4015b9084fb0","EC","Zamora-Chinchipe",NA,NA,"NY","NY","3108003","8143",NA,"J. L. Clark","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1363",1381,"leptothamna",-79.22,-2.92,"Loricaria",NA,NA,"San Joaquin - Soldados road bove Soldados",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,1456178233,"https://www.gbif.org/occurrence/1456178233","821cc27a-e3bb-4bc5-ac34-89ada245069d","EC","Azuay",3800,NA,"US","US","US 3537975","56253",NA,"P. Jörgensen, S. Lægaard & W. C. Steere","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1364",1382,"leptothamna",-79.17,-4.08,"Loricaria",NA,NA,"Parque Nacional Podocarpus, S of Loja, E of Nudo de Cajanuma",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,1456046375,"https://www.gbif.org/occurrence/1456046375","821cc27a-e3bb-4bc5-ac34-89ada245069d","EC","Loja",3100,NA,"US","US","US 3532966","57974",NA,"B. Øllgaard, S. Lægaard, K. Thomsen, J. Korning & T. Illum","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1365",1383,"leptothamna",-79.13,-3.98,"Loricaria",NA,NA,"In the paramo of ""El Tiro"" , located at the northern terminous of Podocarpus National Park; 500 m from the Loja-Zamora Highway",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,1456018263,"https://www.gbif.org/occurrence/1456018263","821cc27a-e3bb-4bc5-ac34-89ada245069d","EC","Loja",2955,NA,"US","US","US 3385879","224",NA,"P. Keating","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1366",1384,"leptothamna",-79.13,-3.97,"Loricaria",NA,NA,"At road Loja-Zamora, near provincial border",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,1455956635,"https://www.gbif.org/occurrence/1455956635","821cc27a-e3bb-4bc5-ac34-89ada245069d","EC","Zamora-Chinchipe",2850,NA,"US","US","US 3533778","53774",NA,"S. Lægaard","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1367",1385,"leptothamna",-79.12,-4.33,"Loricaria",NA,NA,"Yangana-Cerro Toledo",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,1455942131,"https://www.gbif.org/occurrence/1455942131","821cc27a-e3bb-4bc5-ac34-89ada245069d","EC","Loja",3200,NA,"US","US","US 3539314","65707",NA,"P. Jörgensen & J. E. Madsen","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1368",1386,"leptothamna",-79.21666,-2.91666,"Loricaria",NA,NA,"San Joaquín - Soldados road above Soldados. Humid páramo with remnants of Polylepis weberbauerii forest around lakes.",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,1260005432,"https://www.gbif.org/occurrence/1260005432","7bd65a7a-f762-11e1-a439-00145eb45e9a","EC","Azuay",3800,NA,"MO","MO","2667599","Jørgensen 56253","H. Robinson (US)","P.M. Jørgensen;Simon Lægaard;William C. Steere","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1369",1387,"leptothamna",-79.11666,-4.33333,"Loricaria",NA,NA,"Yangana-Cerro Toledo, forest limit.",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,1259992140,"https://www.gbif.org/occurrence/1259992140","7bd65a7a-f762-11e1-a439-00145eb45e9a","EC","Loja",3200,NA,"MO","MO","2655537","Jørgensen 65707","H. Robinson (US)","P.M. Jørgensen","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1370",1388,"leptothamna",-79.116667,-4.483333,"Loricaria",NA,NA,"Parroquia: Valladolid. Southern slopes of the Cordillera de Sabanilla (headwaters of Río Chinchipe). Tapichalaca Reserve (Fundación Jocotoco). Trail from highway to paramo (airplane wreckage). Cloud forest and Paramo.",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,1259670807,"https://www.gbif.org/occurrence/1259670807","7bd65a7a-f762-11e1-a439-00145eb45e9a","EC","Zamora-Chinchipe",3100,NA,"MO","MO","2364000","Clark 8143","Robinson, H.","John L. Clark","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1371",1389,"leptothamna",-79.133,-3.966,"Loricaria",NA,NA,"At road Loja - Zamora, near provincial border.",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,47798706,"https://www.gbif.org/occurrence/47798706","833db434-f762-11e1-a439-00145eb45e9a","EC","ZAMORA-CHINCHIPE",2850,NA,"AAU","Herbarium","S.Laegaard53774",NA,NA,"S. Laegaard","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1372",1390,"leptothamna",-79.116,-4.333,"Loricaria",NA,NA,"Yangana-Cerro Toledo, forest limit.",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,47798565,"https://www.gbif.org/occurrence/47798565","833db434-f762-11e1-a439-00145eb45e9a","EC","Loja",3200,NA,"AAU","Herbarium","P.M.Jorgensen65707",NA,NA,"P.M. Jorgensen","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1373",1391,"leptothamna",-79.216,-2.916,"Loricaria",NA,NA,"San Joaquín - Soldados road above Soldados. Humid páramo with remnants of Polylepis weberbauerii forest around lakes.",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,47798548,"https://www.gbif.org/occurrence/47798548","833db434-f762-11e1-a439-00145eb45e9a","EC","Azuay",3800,NA,"AAU","Herbarium","P.M.Jorgensen56253",NA,NA,"P.M. Jorgensen","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374",1392,"leptothamna",-79.166,-4.083,"Loricaria",NA,NA,"Parque Nacional Podocarpus, S of Loja. Mountain crest with low scrub, above ""Centro de Información"", E of Nudo de Cajanuma.",NA,NA,NA,NA,NA,NA,NA,NA,"https://www.gbif.org/occurrence/",NA,47797902,"https://www.gbif.org/occurrence/47797902","833db434-f762-11e1-a439-00145eb45e9a","EC","Loja",3100,NA,"AAU","Herbarium","B.Ollgaard57974",NA,NA,"B. Ollgaard","SA",NA,NA,NA,NA,NA,NA,NA,"Loricaria leptothamna (Mattf.) Cuatrec.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1375",1393,"aciculifolium",-77.854199,-6.623894,"Oritrophium","PER","Chachapoyas","Amazonas",NA,"Hutchison",NA,"FMNH","5588","IMG_0832","coordinates created by Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3100","Cuatrecasas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1376",1394,"aciculifolium",-78.729744,-6.257259,"Oritrophium","PER","Cajamarca","San Andres, Cutervo",NA,"LLatas Quiroz",NA,"FMNH","2848","IMG_0831","coordinates created by Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2400","M O Dillon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1377",1395,"aciculifolium",-78.582,-7.027222,"Oritrophium","PER","Cajamarca","Margin of the road Cajamarca - Hualgayoc km 28. Jalca - grassy vegetation dominated by Festuca sp. and Calamagrostis sp.",NA,"Petr Sklenar",NA,NA,"6291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3654","Petr Sklenar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1378",1399,"crocifolium",-79.4335411,-4.7278756,"Oritrophium","ECU","Piura","Paramo de Espindola",NA,NA,NA,NA,"G_337",NA,"from Gwendolyn's personal database",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1379",1400,"crocifolium",-79.42632,-4.741625,"Oritrophium","ECU","Piura","Paramo de Espindola",NA,NA,NA,NA,"G_336",NA,"from Gwendolyn's personal database",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1380",1401,"crocifolium",-79.1471167,-3.9941333,"Oritrophium","ECU","Loja","Parque Podocarpus, carretera Loja-Zamora",NA,NA,NA,NA,"G_335",NA,"from Gwendolyn's personal database",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1381",1402,"crocifolium",-79.311777,-3.713626,"Oritrophium","ECU","Loja","Páramo, sendero de cresta desde carretera Loja-Saraguro",NA,NA,NA,NA,"G_334",NA,"from Gwendolyn's personal database",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1382",1403,"crocifolium",-79.2216215,-2.7768822,"Oritrophium","ECU","Azuay","Parque Nacional El Cajas",NA,NA,NA,NA,"G_333",NA,"from Gwendolyn's personal database",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1383",1404,"crocifolium",-79.2212546,-2.7816743,"Oritrophium","ECU","Azuay","Parque Nacional El Cajas",NA,NA,NA,NA,"G_332",NA,"from Gwendolyn's personal database",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1384",1405,"crocifolium",-79.229716,-2.7798785,"Oritrophium","ECU","Azuay","Parque Nacional El Cajas",NA,NA,NA,NA,"G_331",NA,"from Gwendolyn's personal database",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1385",1406,"crocifolium",-79.03333,-3.16666,"Oritrophium","ECU","Azuay, Cuenca","Road Cuenca - Loja, 42 km S of Cuenca. Bunch grass paramo, road side and low scrub.",NA,"Benjamin Øllgaard, Simon Lægaard & Thea Illum",NA,"MO","57763","http://legacy.tropicos.org/Specimen/2684790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1386",1407,"crocifolium",-78.3122222,-6.0747222,"Oritrophium","PER","Amazonas, Luya","Cerro Hiucsocunga",NA,"R Vasquez",NA,"Herbario San Marcos, Lima, Peru","22007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3320","Determined by Petr. Luciana suggests is O. crocipholium aciculifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1387",1408,"crocifolium",-78.5814444,-7.0276667,"Oritrophium","PER","Cajamarca","Pampa cerro negro",NA,"L Sanchez Vega",NA,"CPUN","12116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3560","Determined by Petr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1388",1409,"crocifolium",-72.704323,7.037258,"Oritrophium","COL","Santander","Paramo El Almorzadero",NA,"Cuatrecasas",NA,"FMNH","9982","IMG_0837","coordinates created by Diana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3500-3700","Luciana Salomom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1389",1410,"crocifolium",-78.6166667,-6.9166667,"Oritrophium","PER","Cajamarca","Bambamarca",NA,"DN Smith",NA,"Herbario San Marcos, Lima, Peru","3492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3800","Determined by Petr. Luciana suggests is O. crocipholium crocipholium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1390",1411,"crocifolium",-78.587222,-2.273889,"Oritrophium","ECU","Chimborazo","Paramo de Osogochi, grass paramo near laguna Cubillín, growing on a big boulder.",NA,"Petr Sklenar",NA,NA,"11174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3800","Petr Sklenar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1391",1412,"crocifolium",-79.022667,-3.192278,"Oritrophium","ECU","Azuay","Paramo de Tinajillas, south of Cumbe, grass paramo to the east of the mountain pass.",NA,"Petr Sklenar",NA,NA,"11131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3440","Petr Sklenar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1392",1413,"crocifolium",-79.1091944,-3.5795833,"Oritrophium","ECU","Loja","Cordillera Cordoncillo, El Quingueado (IGM map Saraguro) along road (under construction) from Babes (ca 2 km east of Urdaneta) towards 28 de Mayo",NA,"Petr Sklenar",NA,NA,"13038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3170","Petr Sklenar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1393",1414,"crocifolium",-79.15,-3.9833333,"Oritrophium","ECU","Loja/Zamora-Chinchipe","El Tiro, mountain ridge above Loja, to the right from the pass of the road Loja-Zamora",NA,"Petr Sklenar",NA,NA,"12021",NA,"identified as Oritrophium cf. crocipholium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2850-3050","Petr Sklenar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1394",1415,"crocifolium",-79.242028,-2.772861,"Oritrophium","ECU","Azuay","Superparamo vegetation to the N from the pass of the road Cuenca-Molleturo, marshy places along small streams.",NA,"Petr Sklenar",NA,NA,"11124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4200","Petr Sklenar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1395",1416,"crocifolium",-79.3402778,-3.6947222,"Oritrophium","ECU","Loja","Paramo de Fierro Urco, to the southwest of Saraguro",NA,"Petr Sklenar",NA,NA,"12016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3590","Petr Sklenar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1396",1417,"crocifolium",-79.3486111,-3.695,"Oritrophium","ECU","Loja","Paramo de Fierro Urco, to the southwest of Saraguro",NA,"Petr Sklenar",NA,NA,"12013",NA,"identified as Oritrophium cf. crocipholium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3680","Petr Sklenar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1397",1418,"crocifolium",-79.4366667,-4.7105556,"Oritrophium","ECU","Loja","Cordillera las Lagunillas (de Sabanilla), paramo de las Lagunas Negras",NA,"Petr Sklenar",NA,NA,"12026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3330","Petr Sklenar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
